Title,Reviews,Sold,Original Price,Store Name,Store City,Description,Order Processing,Positive Feedback,Total Feedback,Product URL
Keycaps Mechanical Keyboard GENSHIN IMPACT KEQING 146 Keys PBT Cherry Profile ,,,Rp649.000,Gaming Distro,Jakarta Pusat,"Hi, Welcome to GAMING DISTRO - Authorized Gaming StoreProduk ini 100% NEWHarap untuk menanyakan stok sebelum orderPengiriman via Ojek-Online harap konfirmasi ke kita dulu sebelum checkoutHarap Lakukan video unboxing (tanpa cut/edit) dari ketika paket diterima guna memudahkan & memberikan info valid saat pelaporan barang jika terdapat kendalaProfil Cherry.Bahan dari PBT (Polybutylene Terephthalate) Dyesub146 keysetTidak tembus lampu LEDCocok untuk mechanical keyboard dengan switch : Cherry MX, Outemu, GateronKeycaps 100% NEWCocok untuk ukuran Full size, TKL, dan 60%",± 1-2 hari,1.216 Feedback Positif,dari 1.275 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hhlcg4-jual-keycaps-mechanical-keyboard-genshin-impact-keqing-146-keys-pbt-cherry-profile
Keycaps Mechanical Keyboard Akko Olivia | MDA Profile 158 Keycaps Set PBT Double Shot ,,,Rp389.000,Gaming Distro,Jakarta Pusat,"Hi, Welcome to GAMING DISTRO - Authorized Dealer AkkoProduk ini 100% Original by AkkoHarap untuk menanyakan stok sebelum orderPengiriman via Ojek-Online harap konfirmasi ke kita dulu sebelum checkoutHarap Lakukan video unboxing (tanpa cut/edit) dari ketika paket diterima guna memudahkan & memberikan info valid saat pelaporan barang jika terdapat kendalaTech specs:158 Keys TotalPBT Double ShotMDA ProfileSuitable For Any Layout",± 1-2 hari,1.216 Feedback Positif,dari 1.275 feedback,https://www.bukalapak.com/p/komputer/gaming/mouse-keyboard-gaming/4hh02q7-jual-keycaps-mechanical-keyboard-akko-olivia-mda-profile-158-keycaps-set-pbt-double-shot
Keycaps Pudding HyperX PBT Material for Mechanical Keyboard ,,,Rp471.000,Gaming Distro,Jakarta Pusat,"Hi, Welcome to GAMING DISTRO - Authorized Dealer HYPERXProduk ini 100% Original by HYPERXHarap untuk menanyakan stok sebelum orderPengiriman via Ojek-Online harap konfirmasi ke kita dulu sebelum checkoutHarap Lakukan video unboxing (tanpa cut/edit) dari ketika paket diterima guna memudahkan & memberikan info valid saat pelaporan barang jika terdapat kendalaVarian Warna: Black / White / PinkTidak mencantumkan warna di catatan maka akan dikirim random.Jika sudah mencantumkan warna tetapi barang tidak ready karena sebelumnya tidak tanya stok, kami akan konfirmasi ulang sebelum dikirim :)ORDER = Dianggap Sudah Membaca Ketentuan Yang Berlaku ^^Features:Durable Double shot PBT Material: HyperX PBT keycaps are made with thick walls and are resistant to wear, friction, and solvents. Theyre available in different color options to mix and match with various keyboard styles.Signature HyperX shine-through font: These PBT keycaps are made with thick walls and are resistant to wear, friction, and solvents.Stylish keycap removal tool included: Our keycap removal tool is specially-designed to precisely fit HyperX keycaps.Compatible with most HyperX mechanical gaming keyboards: The full key set is compatible with most HyperX mechanical keyboards and mechanical gaming keyboards with a standard bottom row. They complement the exposed LED design of HyperX mechanical key switches.Designed to enhance RGB lighting: HyperX PBT Keycaps are durable and feature our signature HyperX font, which is designed to let keyboard lighting shine brilliantly.Technical Specs:Material: PBTCompatibility: Compatible with most HyperX mechanical gaming keyboards and most mechanical keyboards with a standard bottom row.",± 1-2 hari,1.216 Feedback Positif,dari 1.275 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hcafc4-jual-keycaps-pudding-hyperx-pbt-material-for-mechanical-keyboard
Keycaps Mechanical Keyboard Akko Starry Night | OSA Profile 185 Keycaps Set PBT Double Shot ,,,Rp799.000,Gaming Distro,Jakarta Pusat,"Hi, Welcome to GAMING DISTRO - Authorized Dealer AkkoProduk ini 100% Original by AkkoHarap untuk menanyakan stok sebelum orderPengiriman via Ojek-Online harap konfirmasi ke kita dulu sebelum checkoutHarap Lakukan video unboxing (tanpa cut/edit) dari ketika paket diterima guna memudahkan & memberikan info valid saat pelaporan barang jika terdapat kendalaTech Specs:185 Keys OSA Profile PBT Keycaps SetPBT Double Shot keycaps185 keys with Large FontsSuitable for ANSI & ISO LayoutCompatible with 60%/65%/75%/TKL compact or full size keyboards",± 1-2 hari,1.216 Feedback Positif,dari 1.275 feedback,https://www.bukalapak.com/p/komputer/gaming/mouse-keyboard-gaming/4hh02vg-jual-keycaps-mechanical-keyboard-akko-starry-night-osa-profile-185-keycaps-set-pbt-double-shot
Mechanical Keyboard PBT Pudding Keycaps Redragon SCARAB A130 Keycaps ,,,Rp108.000,Citra Komputer,Jakarta Barat,SETIAP PEMBELIAN REDRAGON SCARAB A130 FREE LOGAM MULIA 24 KARATSELAMA PERSEDIAAN MASIH ADABURUAN CEKOUT !!!!REDRAGON SCARAB A130 FOR KEYBOARDFor 104 Key mechanical keyboardsDouble shot PBT Pudding keycapsInclude key-puller,± 15 jam,11.197 Feedback Positif,dari 11.794 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/aksesoris-lainnya-241/4hg2qod-jual-mechanical-keyboard-pbt-pudding-keycaps-redragon-scarab-a130-keycaps
Keycaps Pudding HyperX 104 Keys for Mechanical Keyboard ,,,Rp420.000,Gaming Distro,Jakarta Pusat,"Hi, Welcome to GAMING DISTRO - Authorized Dealer HYPERXProduk ini 100% Original by HYPERXHarap untuk menanyakan stok sebelum orderPengiriman via Ojek-Online harap konfirmasi ke kita dulu sebelum checkoutHarap Lakukan video unboxing (tanpa cut/edit) dari ketika paket diterima guna memudahkan & memberikan info valid saat pelaporan barang jika terdapat kendalaVarian: White Topping / Black Topping / Pink ToppingTidak mencantumkan warna di catatan maka akan dikirim random.Jika sudah mencantumkan warna tetapi barang tidak ready karena sebelumnya tidak tanya stok, TENANG, kami akan konfirmasi ulang sebelum dikirim :)ORDER = AGREEFEATURES:HyperX Pudding Keycaps Full Key Set : HyperX Pudding Keycaps feature a translucent dual-layer style and our signature HyperX font, both of which are designed to provide extra brilliance. These double shot PBT keycaps are thicker, more durable, and more resistant to solvents. The full key set is compatible with HyperX and most other mechanical gaming keyboards and come with a stylish HyperX keycap removal tool for easy installation.Translucent design for lustrous RGB lightingThe dual-layer design of these keycaps is designed to let more light through, making your keyboards RGB lighting even more stunning.Durable double shot PBT materialThese PBT keycaps are made with thick walls and are resistant to wear, friction, and solvents.Signature HyperX fontOur bold, wide font allows for more light to shine through, enhancing the visibility and legibility of the individual keys.Stylish keycap removal tool includedOur keycap removal tool is specially-designed to precisely fit HyperX keycaps.English (US) Layout - 104 Key SetDesigned to enhance RGB lightingTranslucent keycaps with black top (Pudding)Compatible with HyperX mechanical keyboardsPart Number: HKCPXP-BK-US/G",± 1-2 hari,1.216 Feedback Positif,dari 1.275 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/3rl1af9-jual-keycaps-pudding-hyperx-104-keys-for-mechanical-keyboard
Steelseries Prismcaps Universal Double Shot PBT Keycaps Keyboard Black ,,,Rp460.000,Graha Baru Komputer,Jakarta Pusat,"#CATATAN#*HARUS mempunyai video unboxing full uncut atau tanpa potongan sama sekali, untuk menjadi bukti valid dan menghindari gagalnya klaim garansi jika mendapatkan barang cacat fisik dari pabrik atau kekurangan komponen/part barang.*Diwajibkan dan harus membeli asuransi pengiriman yang ada di , untuk menghindari kerusakan pada pengiriman.Dengan membeli barang dari kami berarti sudah membaca dan setuju dengan catatan diatas.SpecificationsMaterial : PBTCompatibilitySteelSeries Keyboards : Apex Pro / Apex Pro TKL, Apex 7 / Apex 7 TKL, Apex 5, Apex M750 / Apex M750 TKLOther Brands : Most MX stems mechanical keyboards even with non-standard bottom rowTidak Support untuk keyboard MembrandBox ContentPrismCapsUS Layout: 104 KeysNordic Layout: 105 KeysExtra ""Non-Standard"" Bottom Row: 16 keysProduct Information Guide",± 1-2 hari,7.155 Feedback Positif,dari 7.339 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hg5d97-jual-steelseries-prismcaps-universal-double-shot-pbt-keycaps-keyboard-black
Keycaps Razer PBT Double Shot Quartz Pink for Mechanical Keyboard ,,,Rp509.000,Gaming Distro,Jakarta Pusat,"Hi, Welcome to GAMING DISTRO - Authorized Dealer RAZERProduk ini 100% Original by RAZERHarap untuk menanyakan stok sebelum orderPengiriman via Ojek-Online harap konfirmasi ke kita dulu sebelum checkoutHarap Lakukan video unboxing (tanpa cut/edit) dari ketika paket diterima guna memudahkan & memberikan info valid saat pelaporan barang jika terdapat kendalaFEATURES:Superior PBT MaterialDoubleshot Molding With Ultra-Thin FontWorks With Popular Keyboard LayoutsDOUBLESHOT DURABILITY: Its time to get tough and secure your keys to victory with the Razer PBT Keycap Upgrade Set. Designed to endure the most intense gaming, these doubleshot PBT keycaps arent here to win one battletheyre here to win the war.SUPERIOR PBT MATERIAL: Harder and more durable than ABS or PVC, PBT is a high-grade thermoplastic that gives the keycaps a sturdy, textured look and feel that wont wear down to a shiny finish. Crafted with extra-thick walls, they are well equipped to handle extreme use and produce more satisfying keystrokes because of their solid build. Available in 4 different colors.DOUBLESHOT MOLDING WITH ULTRA-THIN FONT: Using our unique doubleshot precision molding process, the keycap labels are fade-resistant and have the thinnest font ever produced on PBT keycaps. They are also designed to be backlight compatible, and work best with our keyboards Razer Chroma RGB lighting.WORKS WITH POPULAR KEYBOARD LAYOUTS: The Razer PBT Keycap Upgrade Set works with Razer and standard 104/105 key US or UK layouts, and comes with 120 doubleshot PBT keycaps and additional stabilizers for optical and mechanical keyboards.TECH SPECS:Shine-resistant PBT materialBacklight compatibleFits all Razer mechanical and optical keyboardsFits all cross-shaped axis (Cherry-style) switchesFits both Razer and standard 104/105 key US and UK layoutsIncludes mechanical and optical keyboard stabilizers",± 1-2 hari,1.216 Feedback Positif,dari 1.275 feedback,https://www.bukalapak.com/p/komputer/aksesoris-226/keyboard/4hofomm-jual-keycaps-razer-pbt-double-shot-quartz-pink-for-mechanical-keyboard
HyperX PBT Double Shot Keycaps Full-key Set Key Caps Gaming Keyboard ,,,Rp471.000,DUNIA COMPUTER DAN SERVICE,Jakarta Barat,Note:Garansi Resmi 2 Tahun Hyperx IndonesiaSpecs :HyperX PBT Double Shot Keycaps Full-key Set Key Caps Gaming KeyboardEnglish (US) Layout - 104 Key SetDesigned to enhance RGB lightingTranslucent keycaps with white top (Pudding)Compatible with HyperX mechanical keyboardsMaterial : PBTCompatibility : Fits all HyperX mechanical keyboardsFits most mechanical keyboards with standard bottom row,± 13 jam,11.741 Feedback Positif,dari 12.296 feedback,https://www.bukalapak.com/p/g-komputer/g-aksesoris/g-keyboard/4hcrfg1-jual-hyperx-pbt-double-shot-keycaps-full-key-set-key-caps-gaming-keyboard
Keycaps Mechanical Keyboard | Pulsar Basic US ANSI 104 Set OEM Profile ,,,Rp249.000,Gaming Distro,Jakarta Pusat,"Hi, Welcome to GAMING DISTRO - Authorized Dealer PulsarProduk ini 100% Original by PulsarHarap untuk menanyakan stok sebelum orderPengiriman via Ojek-Online harap konfirmasi ke kita dulu sebelum checkoutHarap Lakukan video unboxing (tanpa cut/edit) dari ketika paket diterima guna memudahkan & memberikan info valid saat pelaporan barang jika terdapat kendalaFeatures:BACKLIT ENABLED: The keycaps can shine through legends. The full key set is compatible with Pulsar keyboards and other mechanical keyboards using Cherry MX style switches.ERGONOMICS: OEM profile Ideal for gamings.Clean and minimalistic Pulsar font designs.COMPATIBILITY: Fits most of popular MX style switches from Cherry, Kailh, Gateron, Pandas..etc.",± 1-2 hari,1.216 Feedback Positif,dari 1.275 feedback,https://www.bukalapak.com/p/komputer/gaming/mouse-keyboard-gaming/4gq0e4a-jual-keycaps-mechanical-keyboard-pulsar-basic-us-ansi-104-set-oem-profile
